동,업체수,유동인구,매출,지출,평균 영업 이익,창업시 업체수,시장 규모,창업 후 평균 매출,창업 후 평균 예상 지출,창업 후 예상 영업이익
사직동,5,5108,12573,10264,2309,6,62865,10478,8553,1925
삼청동,1,1986,0,0,0,2,0,0,0,0
부암동,6,2700,2969,2424,545,7,17814,2545,2078,467
평창동,3,3462,2969,2424,545,4,8907,2227,1818,409
무악동,0,863,0,0,0,1,0,0,0,0
가회동,1,1149,2949,2407,542,2,2949,1475,1204,271
종로1.2.3.4가동,7,15000,2390,1951,439,8,16730,2091,1707,384
종로5.6가동,4,3357,3350,2735,615,5,13400,2680,2188,492
이화동,1,2853,0,0,0,2,0,0,0,0
창신1동,0,1553,0,0,0,1,0,0,0,0
창신2동,0,418,0,0,0,1,0,0,0,0
창신3동,0,375,0,0,0,1,0,0,0,0
숭인1동,0,709,0,0,0,1,0,0,0,0
창신3동,0,375,0,0,0,1,0,0,0,0
숭인1동,0,709,0,0,0,1,0,0,0,0
숭인2동,0,2242,0,0,0,1,0,0,0,0
청운효자동,0,2421,0,0,0,1,0,0,0,0
혜화동,1,2106,3217,2626,591,2,3217,1609,1313,296
회현동,3,7248,3052,2491,561,4,9156,2289,1869,420
명동,1,9210,2066,1687,379,2,2066,1033,843,190
필동,3,2757,3343,2729,614,4,10029,2507,2047,460
장충동,3,2155,2540,2073,467,4,7620,1905,1555,350
광희동,9,6079,3566,2911,655,10,32094,3209,2620,589
을지로동,6,3680,0,0,0,7,0,0,0,0
신당5동,5,1355,2429,1983,446,6,12145,2024,1652,372
황학동,3,1954,0,0,0,4,0,0,0,0
중림동,1,1082,3028,2472,556,2,3028,1514,1236,278
신당동,5,2950,2149,1754,395,6,10745,1791,1462,329
다산동,7,2120,4921,4017,904,8,34447,4306,3515,791
약수동,1,2705,1362,1112,250,2,1362,681,556,125
청구동,0,713,0,0,0,1,0,0,0,0
동화동,1,501,5201,4246,955,2,5201,2601,2123,478
후암동,2,581,2986,2438,548,3,5972,1991,1625,366
용산2가동,2,1466,0,0,0,3,0,0,0,0
원효로2동,14,1873,7463,6092,1371,15,104482,6965,5686,1279
효창동,4,731,0,0,0,5,0,0,0,0
이촌1동,1,4700,0,0,0,2,0,0,0,0
이촌2동,4,2097,6996,5711,1285,5,27984,5597,4569,1028
이태원1동,2,2111,0,0,0,3,0,0,0,0
이태원2동,0,954,0,0,0,1,0,0,0,0
서빙고동,11,5442,6774,5530,1244,12,74514,6210,5069,1141
보광동,5,2064,3309,2701,608,6,16545,2758,2251,507
청파동,8,2522,4731,3862,869,9,37848,4205,3433,772
한강로동,6,12771,737,602,135,7,4422,632,516,116
한남동,4,7399,3697,3018,679,5,14788,2958,2415,543
왕십리2동,0,984,0,0,0,1,0,0,0,0
마장동,12,2321,2460,2008,452,13,29520,2271,1854,417
사근동,0,2936,0,0,0,1,0,0,0,0
행당1동,1,4531,1410,1151,259,2,1410,705,576,129
행당2동,0,1316,0,0,0,1,0,0,0,0
응봉동,1,2089,0,0,0,2,0,0,0,0
금호1가동,3,1118,3361,2744,617,4,10083,2521,2058,463
금호4가동,2,2831,3148,2570,578,3,6296,2099,1713,386
성수1가1동,3,3350,2539,2073,466,4,7617,1904,1554,350
성수2가1동,20,2738,4375,3571,804,21,87500,4167,3402,765
성수2가3동,25,3939,3703,3023,680,26,92575,3561,2907,654
송정동,5,1567,2507,2047,460,6,12535,2089,1705,384
용답동,85,4254,3062,2500,562,86,260270,3026,2470,556
금호2.3가동,3,1750,0,0,0,4,0,0,0,0
옥수동,3,4968,10020,8180,1840,4,30060,7515,6135,1380
화양동,4,4701,1022,834,188,5,4088,818,668,150
군자동,10,3178,4180,3412,768,11,41800,3800,3102,698
중곡1동,14,2484,1720,1404,316,15,24080,1605,1310,295
중곡2동,11,2472,1273,1039,234,12,14003,1167,953,214
중곡4동,6,1914,2652,2165,487,7,15912,2273,1856,417
능동,1,2681,0,0,0,2,0,0,0,0
자양1동,9,1516,3726,3042,684,10,33534,3353,2737,616
자양2동,7,4712,1975,1612,363,8,13825,1728,1411,317
자양3동,6,3981,4689,3828,861,7,28134,4019,3281,738
자양4동,7,3902,2658,2170,488,8,18606,2326,1899,427
회기동,1,2891,1696,1384,312,2,1696,848,692,156
휘경1동,2,2552,0,0,0,3,0,0,0,0
휘경2동,1,2454,0,0,0,2,0,0,0,0
청량리동,4,2065,1672,1365,307,5,6688,1338,1092,246
용신동,9,7831,1129,922,207,10,10161,1016,829,187
제기동,19,3489,1681,1372,309,20,31939,1597,1304,293
전농1동,12,4825,5667,4626,1041,13,68004,5231,4270,961
전농2동,2,1295,0,0,0,3,0,0,0,0
답십리2동,70,1757,1880,1535,345,71,131600,1854,1513,341
장안1동,93,4394,3843,3137,706,94,357399,3802,3104,698
장안2동,19,3894,1325,1082,243,20,25175,1259,1028,231
이문1동,7,2438,1245,1016,229,8,8715,1089,889,200
이문2동,4,1278,13040,10645,2395,5,52160,10432,8516,1916
면목2동,13,1630,1061,866,195,14,13793,985,804,181
면목4동,3,1595,3394,2771,623,4,10182,2546,2078,468
면목5동,2,1905,6709,5477,1232,3,13418,4473,3651,822
면목7동,6,2537,1209,987,222,7,7254,1036,846,190
상봉1동,3,3860,1902,1553,349,4,5706,1427,1165,262
중화1동,9,1120,0,0,0,10,0,0,0,0
묵1동,8,2819,1425,1163,262,9,11400,1267,1034,233
망우3동,11,831,1035,845,190,12,11385,949,775,174
신내1동,8,4881,4810,3927,883,9,38480,4276,3491,785
신내2동,0,2040,0,0,0,1,0,0,0,0
면목본동,8,2092,1546,1262,284,9,12368,1374,1122,252
정릉1동,10,1407,3939,3216,723,11,39390,3581,2923,658
정릉2동,9,2197,6012,4908,1104,10,54108,5411,4417,994
정릉3동,4,2568,15990,13053,2937,5,63960,12792,10442,2350
정릉4동,3,2004,1288,1051,237,4,3864,966,789,177
길음1동,2,4266,0,0,0,3,0,0,0,0
길음2동,9,3735,3181,2597,584,10,28629,2863,2337,526
월곡1동,10,2363,8253,6737,1516,11,82530,7503,6125,1378
월곡2동,8,3241,4002,3267,735,9,32016,3557,2904,653
장위1동,3,2418,0,0,0,4,0,0,0,0
장위2동,7,2207,4123,3366,757,8,28861,3608,2945,663
장위3동,1,2155,1199,979,220,2,1199,600,490,110
성북동,6,1947,5306,4331,975,7,31836,4548,3713,835
삼선동,4,2572,0,0,0,5,0,0,0,0
동선동,5,2836,2645,2159,486,6,13225,2204,1799,405
종암동,13,3622,2906,2372,534,14,37778,2698,2202,496
석관동,14,5526,2621,2140,481,15,36694,2446,1997,449
번1동,2,2535,1309,1069,240,3,2618,873,713,160
수유2동,8,1227,9115,7441,1674,9,72920,8102,6614,1488
송중동,10,3521,3056,2495,561,11,30560,2778,2268,510
송천동,17,4225,1576,1287,289,18,26792,1488,1215,273
삼각산동,0,1733,0,0,0,1,0,0,0,0
인수동,5,2683,2330,1902,428,6,11650,1942,1585,357
쌍문1동,5,1346,3750,3061,689,6,18750,3125,2551,574
쌍문2동,9,1253,3033,2476,557,10,27297,2730,2229,501
