동,업체수,유동인구,매출,지출,평균 영업 이익,창업시 업체수,시장 규모,창업시 매출 지표,창업 후 평균 예상 지출,창업 후 평균 영업이익
행당1동,16,4531,13309,12507,802,17,212944,12526,11771,755
대조동,26,3721,7427,6980,447,27,193102,7152,6721,431
홍제2동,6,778,3989,3749,240,7,23934,3419,3213,206
등촌3동,15,4834,8815,8284,531,16,132225,8264,7766,498
가양1동,67,8530,11092,10424,668,68,743164,10929,10271,658
성수1가2동,15,3049,8558,8042,516,16,128370,8023,7540,483
성내1동,12,2111,8231,7735,496,13,98772,7598,7140,458
을지로동,23,3680,9797,9207,590,24,225331,9389,8823,566
송중동,21,3521,5711,5367,344,22,119931,5451,5123,328
대림3동,23,2286,8658,8136,522,24,199134,8297,7797,500
장위3동,3,2155,14533,13658,875,4,43599,10900,10243,657
왕십리2동,7,984,10963,10303,660,8,76741,9593,9015,578
상일1동,11,4337,10075,9468,607,12,110825,9235,8679,556
방배3동,13,2559,6630,6231,399,14,86190,6156,5785,371
청파동,18,2522,3312,3112,200,19,59616,3138,2949,189
장위1동,19,2418,6318,5937,381,20,120042,6002,5640,362
화곡4동,13,2432,5638,5298,340,14,73294,5235,4920,315
장위2동,8,2207,4471,4202,269,9,35768,3974,3735,239
암사1동,29,1438,7420,6973,447,30,215180,7173,6741,432
암사3동,6,1179,7234,6798,436,7,43404,6201,5827,374
남가좌1동,5,1857,10735,10088,647,6,53675,8946,8407,539
남가좌2동,16,1932,8279,7780,499,17,132464,7792,7323,469
신림동,28,3557,10360,9736,624,29,290080,10003,9400,603
자양4동,20,3902,8438,7930,508,21,168760,8036,7552,484
반포2동,8,3278,13912,13074,838,9,111296,12366,11621,745
방학2동,11,701,6741,6335,406,12,74151,6179,5807,372
문정1동,9,2145,12356,11612,744,10,111204,11120,10450,670
방배본동,14,2397,12416,11668,748,15,173824,11588,10890,698
필동,17,2757,8032,7548,484,18,136544,7586,7129,457
발산1동,34,5431,8923,8385,538,35,303382,8668,8146,522
금호4가동,10,2831,5036,4733,303,11,50360,4578,4302,276
둔촌2동,21,3942,5055,4750,305,22,106155,4825,4534,291
망우본동,22,4286,7742,7276,466,23,170324,7405,6959,446
등촌2동,11,1870,8494,7982,512,12,93434,7786,7317,469
왕십리도선동,13,2406,10387,9761,626,14,135031,9645,9064,581
홍제3동,9,2873,10950,10290,660,10,98550,9855,9261,594
삼선동,23,2572,8025,7542,483,24,184575,7691,7228,463
구로4동,15,2041,6414,6028,386,16,96210,6013,5651,362
중곡2동,12,2472,7748,7281,467,13,92976,7152,6721,431
가락본동,31,4698,9972,9371,601,32,309132,9660,9078,582
상계9동,7,2230,7914,7437,477,8,55398,6925,6508,417
삼양동,16,1373,6137,5767,370,17,98192,5776,5428,348
청담동,39,10011,8931,8393,538,40,348309,8708,8183,525
망원2동,8,2549,7612,7153,459,9,60896,6766,6358,408
신월6동,5,1226,7397,6951,446,6,36985,6164,5793,371
번3동,8,1088,7925,7448,477,9,63400,7044,6620,424
마천2동,9,1868,6853,6440,413,10,61677,6168,5796,372
종암동,24,3622,9425,8857,568,25,226200,9048,8503,545
창4동,16,4362,6468,6078,390,17,103488,6088,5721,367
묵1동,20,2819,7453,7004,449,21,149060,7098,6670,428
신도림동,26,6223,9374,8809,565,27,243724,9027,8483,544
수유1동,14,1404,6134,5764,370,15,85876,5725,5380,345
부암동,16,2700,8539,8025,514,17,136624,8037,7553,484
둔촌1동,3,830,0,0,0,4,0,0,0,0
정릉3동,11,2568,7174,6742,432,12,78914,6576,6180,396
이촌2동,5,2097,8503,7991,512,6,42515,7086,6659,427
화곡본동,21,1818,8893,8357,536,22,186753,8489,7978,511
신사동,19,1960,10519,9885,634,20,199861,9993,9391,602
성북동,21,1947,8048,7563,485,22,169008,7682,7219,463
대치4동,38,4561,8833,8301,532,39,335654,8607,8089,518
대학동,31,2975,4750,4464,286,32,147250,4602,4325,277
신월3동,11,2699,7694,7231,463,12,84634,7053,6628,425
월계3동,12,3980,10315,9694,621,13,123780,9522,8948,574
구로1동,8,2450,7192,6759,433,9,57536,6393,6008,385
응암2동,10,1149,8322,7821,501,11,83220,7565,7109,456
중앙동,14,1791,13388,12581,807,15,187432,12495,11742,753
독산3동,14,1788,8545,8030,515,15,119630,7975,7495,480
반포4동,28,12794,7745,7278,467,29,216860,7478,7028,450
용강동,17,3330,12440,11691,749,18,211480,11749,11041,708
신내2동,7,2040,7162,6731,431,8,50134,6267,5889,378
흑석동,22,5026,5090,4783,307,23,111980,4869,4576,293
대치1동,8,4133,5815,5465,350,9,46520,5169,4858,311
청량리동,9,2065,5969,5609,360,10,53721,5372,5048,324
용산2가동,17,1466,3670,3449,221,18,62390,3466,3257,209
이촌1동,10,4700,13739,12911,828,11,137390,12490,11738,752
역촌동,29,2311,8308,7808,500,30,240932,8031,7547,484
한남동,14,7399,19246,18087,1159,15,269444,17963,16881,1082
방배4동,17,2942,8193,7699,494,18,139281,7738,7272,466
상계10동,3,1770,13975,13133,842,4,41925,10481,9850,631
이태원1동,17,2111,15566,14628,938,18,264622,14701,13815,886
중화2동,17,3107,5508,5176,332,18,93636,5202,4889,313
무악동,3,863,12247,11509,738,4,36741,9185,8632,553
화양동,50,4701,9592,9014,578,51,479600,9404,8837,567
성내2동,14,4238,6547,6153,394,15,91658,6111,5743,368
행운동,16,2674,10183,9570,613,17,162928,9584,9007,577
방이1동,17,1964,9440,8871,569,18,160480,8916,8379,537
신원동,7,831,13042,12256,786,8,91294,11412,10725,687
길동,36,4253,8186,7693,493,37,294696,7965,7485,480
미아동,20,1940,7607,7149,458,21,152140,7245,6809,436
잠실3동,6,11182,10627,9987,640,7,63762,9109,8560,549
상계8동,7,2390,16063,15095,968,8,112441,14055,13208,847
신월7동,10,2338,8111,7622,489,11,81110,7374,6930,444
중곡1동,16,2484,7887,7412,475,17,126192,7423,6976,447
공덕동,21,4704,5585,5249,336,22,117285,5331,5010,321
길음1동,12,4266,9351,8788,563,13,112212,8632,8112,520
광장동,26,6457,9680,9097,583,27,251680,9321,8759,562
면목2동,15,1630,7439,6991,448,16,111585,6974,6554,420
신월1동,13,1680,6568,6172,396,14,85384,6099,5732,367
잠실7동,2,2191,0,0,0,3,0,0,0,0
오류1동,22,3660,8993,8451,542,23,197846,8602,8084,518
창신3동,3,375,8798,8268,530,4,26394,6599,6201,398
면목3.8동,17,2403,7044,6620,424,18,119748,6653,6252,401
화곡6동,24,2801,4332,4071,261,25,103968,4159,3908,251
반포3동,5,3706,6947,6529,418,6,34735,5789,5440,349
휘경1동,11,2552,8720,8195,525,12,95920,7993,7511,482
면목5동,8,1905,11156,10484,672,9,89248,9916,9319,597
원효로1동,21,1946,10816,10164,652,22,227136,10324,9702,622
성산1동,19,1889,9855,9261,594,20,187245,9362,8798,564
신사동,24,9357,8316,7815,501,25,199584,7983,7502,481
보광동,10,2064,10228,9612,616,11,102280,9298,8738,560
원효로2동,8,1873,9202,8648,554,9,73616,8180,7687,493
독산1동,31,7756,9917,9320,597,32,307427,9607,9028,579
행당2동,5,1316,7664,7202,462,6,38320,6387,6002,385
길음2동,13,3735,11004,10341,663,14,143052,10218,9602,616
면목4동,9,1595,9873,9278,595,10,88857,8886,8351,535
방이2동,20,4964,11103,10434,669,21,222060,10574,9937,637
신당동,22,2950,8974,8433,541,23,197428,8584,8067,517
서강동,24,2811,8124,7635,489,25,194976,7799,7329,470
동선동,28,2836,6917,6500,417,29,193676,6678,6276,402
천연동,8,2580,9671,9088,583,9,77368,8596,8078,518
쌍문3동,17,2035,4717,4433,284,18,80189,4455,4187,268
대림2동,22,1603,8716,8191,525,23,191752,8337,7835,502
자양1동,19,1516,5705,5361,344,20,108395,5420,5093,327
신정4동,22,4741,9403,8837,566,23,206866,8994,8452,542
전농1동,18,4825,8128,7638,490,19,146304,7700,7236,464
송파1동,15,2294,7473,7023,450,16,112095,7006,6584,422
도봉2동,11,3020,6460,6071,389,12,71060,5922,5565,357
삼성동,6,1807,8785,8256,529,7,52710,7530,7076,454
신정3동,17,7239,7960,7480,480,18,135320,7518,7065,453
양평2동,23,7238,8631,8111,520,24,198513,8271,7773,498
창3동,14,688,6039,5675,364,15,84546,5636,5296,340
교남동,7,1387,10227,9611,616,8,71589,8949,8410,539
도봉1동,25,3197,6290,5911,379,26,157250,6048,5684,364
이태원2동,10,954,11467,10776,691,11,114670,10425,9797,628
사근동,18,2936,5023,4720,303,19,90414,4759,4472,287
천호1동,12,1846,7946,7467,479,13,95352,7335,6893,442
연남동,20,1611,11108,10439,669,21,222160,10579,9942,637
효창동,2,731,6655,6254,401,3,13310,4437,4170,267
구로5동,17,5143,10175,9562,613,18,172975,9610,9031,579
이문1동,19,2438,2440,2293,147,20,46360,2318,2178,140
가회동,6,1149,9518,8945,573,7,57108,8158,7667,491
가양3동,4,1969,6429,6042,387,5,25716,5143,4833,310
천호2동,31,4421,6399,6014,385,32,198369,6199,5826,373
창5동,17,2433,8277,7778,499,18,140709,7817,7346,471
독산4동,10,1274,8083,7596,487,11,80830,7348,6905,443
전농2동,10,1295,5824,5473,351,11,58240,5295,4976,319
명동,43,9210,11323,10641,682,44,486889,11066,10399,667
응봉동,4,2089,3407,3202,205,5,13628,2726,2562,164
장지동,11,4238,8520,8007,513,12,93720,7810,7340,470
양재2동,26,11624,5821,5470,351,27,151346,5605,5267,338
휘경2동,18,2454,4688,4406,282,19,84384,4441,4173,268
목3동,15,2215,8068,7582,486,16,121020,7564,7108,456
수유3동,16,3327,8149,7658,491,17,130384,7670,7208,462
신정1동,7,2205,7989,7508,481,8,55923,6990,6569,421
오금동,24,5455,9189,8635,554,25,220536,8821,8290,531
중계본동,11,1508,7779,7310,469,12,85569,7131,6701,430
북가좌1동,7,1410,8913,8376,537,8,62391,7799,7329,470
숭인1동,8,709,8757,8229,528,9,70056,7784,7315,469
성수2가3동,26,3939,10172,9559,613,27,264472,9795,9205,590
망원1동,13,2660,6074,5708,366,14,78962,5640,5300,340
천호3동,19,1423,8246,7749,497,20,156674,7834,7362,472
성내3동,18,2400,7490,7039,451,19,134820,7096,6669,427
개포2동,5,4919,7598,7140,458,6,37990,6332,5951,381
후암동,11,581,11488,10796,692,12,126368,10531,9897,634
청구동,6,713,11204,10529,675,7,67224,9603,9025,578
장안1동,51,4394,6416,6029,387,52,327216,6293,5914,379
동화동,3,501,8265,7767,498,4,24795,6199,5826,373
노량진1동,28,8283,7633,7173,460,29,213724,7370,6926,444
수유2동,11,1227,7453,7004,449,12,81983,6832,6420,412
혜화동,20,2106,7155,6724,431,21,143100,6814,6404,410
월계1동,20,2993,4762,4475,287,21,95240,4535,4262,273
석촌동,36,4960,8443,7934,509,37,303948,8215,7720,495
우장산동,14,3573,5624,5285,339,15,78736,5249,4933,316
남영동,25,5667,6576,6180,396,26,164400,6323,5942,381
화곡8동,14,1336,7946,7467,479,15,111244,7416,6969,447
화곡1동,41,5015,11826,11114,712,42,484866,11544,10849,695
다산동,14,2120,9617,9038,579,15,134638,8976,8435,541
염창동,29,5082,7578,7121,457,30,219762,7325,6884,441
신길1동,16,2800,4899,4604,295,17,78384,4611,4333,278
잠원동,20,7625,10118,9508,610,21,202360,9636,9056,580
구의2동,15,2763,9439,8870,569,16,141585,8849,8316,533
서교동,59,10405,11457,10767,690,60,675963,11266,10587,679
난향동,2,1502,5098,4791,307,3,10196,3399,3194,205
중곡3동,10,1893,7200,6766,434,11,72000,6545,6151,394
묵2동,13,2535,6823,6412,411,14,88699,6336,5954,382
