,tfidf
회사,0.5163048288589184
복지,0.34356526060652864
업무,0.2758925717940157
기업,0.25199365993636974
직원,0.23653543152742007
연봉,0.23054843512776338
문화,0.17877563839302724
대기업,0.17877563839302724
분위기,0.17480066537358305
근무,0.13137040460558164
연차,0.11154461324934146
부서,0.09103178951937017
눈치,0.0895595772899464
계약,0.08484849815579032
급여,0.083032769739501
사업,0.0809716726183077
야근,0.07949946038888393
체계,0.07743836326769064
최고,0.07601522477924766
대한,0.0724328416876498
생산,0.06762361507153213
보고,0.06752546758957055
강도,0.06492455931758855
환경,0.0606060701112788
경험,0.05893756291793185
장점,0.05682739205575777
개발,0.05564962227221875
조직,0.05393204133789101
월급,0.053245008964159915
정규직,0.05290149277729437
퇴근,0.050496879469235534
단점,0.04966262587256206
시스템,0.04917188846275413
사용,0.048533929830003826
대우,0.048337634866080656
기회,0.04509876796134835
정말,0.044215440623694084
개선,0.044019145659770914
성과,0.043822850695847744
글로벌,0.04293952335819348
느낌,0.04220341724348159
발전,0.04127101616484653
출퇴근,0.039995098899345924
안정,0.03984787767640355
가능,0.0388664028567877
매우,0.0388173291158069
수평,0.03871918163384532
개발자,0.03847381292894136
별로,0.03842473918796056
수준,0.03768863307324868
사내,0.03714882192245996
미래,0.036903453217556
퇴사,0.03665808451265203
노조,0.03655993703069045
라벨,0.03587290465695935
신입,0.03582383091597856
보상,0.03567660969303618
직장,0.03548031472911301
업계,0.034940503578324296
휴가,0.03440069242753557
신경,0.0342534712045932
영진,0.0342043974636124
국내,0.033959028758708446
개인,0.03390995501772765
자부심,0.03381180753576606
성과급,0.03371366005380448
교육,0.03346829134890052
노력,0.033173848903015765
성장,0.03302662768007338
군대,0.03283033271615021
필요,0.03283033271615021
효율,0.03238866904732308
지원,0.0322414478243807
투자,0.0322414478243807
자유,0.03199607911947674
위해,0.03184885789653436
보수,0.03101460429986089
안보,0.030720161853976136
사원,0.02983683451632187
부분,0.029787760775341076
추천,0.02949331832945632
제공,0.0283155485459173
능력,0.028070179841013336
영업,0.027824811136109375
계속,0.02777573739512858
관리,0.02772666365414779
삼성,0.027677589913166996
제도,0.027432221208263035
기술,0.02659796761158956
보장,0.02640167264766639
나름,0.02620537768374322
혜택,0.026107230201781635
인력,0.02600908271982005
자동차,0.02600908271982005
아르바이트,0.025763714014916086
교대,0.0256655665329545
임원,0.025567419050992916
비교,0.025371124087069746
경쟁,0.025371124087069746
프로세스,0.02522390286412737
인사,0.024733165454319445
스트레스,0.02468409171333865
출근,0.024536870490396274
기본,0.024340575526473104
채용,0.024340575526473104
변화,0.02429150178549231
이미지,0.02409520682156914
경력,0.023800764375684385
수직,0.023800764375684385
작업,0.02365354315274201
평가,0.023359100706857254
제발,0.0230646582609725
입사,0.0230646582609725
인원,0.02277021581508774
제대로,0.022672068333126155
자율,0.022279478405279815
시설,0.022279478405279815
구조,0.022279478405279815
주말,0.022279478405279815
대비,0.022230404664299024
가장,0.022230404664299024
경영,0.02213225718233744
불만,0.021886888477433475
차이,0.021886888477433475
본인,0.02154337229056793
신규,0.021445224808606344
인재,0.02139615106762555
공장,0.02134707732664476
현장,0.020856339916836834
수당,0.02075819243487525
진짜,0.020660044952913664
실적,0.020660044952913664
반도체,0.020512823729971284
기숙사,0.020463749988990493
생활,0.020463749988990493
압박,0.020316528766048114
가능성,0.020267455025067323
모든,0.02021838128408653
커리어,0.02016930754310574
고객,0.01997301257918257
윗사람,0.019923938838201774
적극,0.01967857013329781
보임,0.01962949639231702
정치,0.01943320142839385
무량,0.0190896852415283
진행,0.01864802157270117
마인드,0.01864802157270117
꼰대,0.018598947831720374
인턴,0.01850080034975879
제품,0.01825543164485483
위치,0.018059136680931658
버스,0.018010062939950864
인물,0.017960989198970073
임금,0.01791191545798928
회식,0.017813767976027694
식품,0.01751932553014294
승진,0.017470251789162148
이직,0.017372104307200563
크게,0.017372104307200563
역량,0.017273956825238978
자체,0.017273956825238978
대부분,0.017224883084258184
할인,0.016783219415431053
보너스,0.016783219415431053
식당,0.016783219415431053
세계,0.01673414567445026
단순,0.01673414567445026
점점,0.016586924451507883
일만,0.01653785071052709
상사,0.01653785071052709
그룹,0.01639062948758471
의사결정,0.016243408264642333
쿠팡,0.016047113300719163
자주,0.015948965818757578
운영,0.015899892077776784
직무,0.015899892077776784
한국,0.015458228408949653
주변,0.015458228408949653
과금,0.01540915466796886
라인,0.015360080926988068
아주,0.015360080926988068
점심,0.015261933445026483
전환,0.01521285970404569
서비스,0.015163785963064898
기준,0.01501656474012252
목표,0.01501656474012252
알바,0.01501656474012252
상여금,0.01482026977619935
좀더,0.01482026977619935
서울,0.01482026977619935
