,tfidf
좋다,0.514348760630912
회사,0.37813620577784784
많다,0.31561845066494465
복지,0.24597686491049262
업무,0.23430852161830049
기업,0.19256860587658156
직원,0.17510703249370455
분위기,0.16628412730259085
문화,0.16323398142445641
연봉,0.16251750420476038
대기업,0.10757393684292932
부서,0.09160673023256112
자유롭다,0.08849517202130988
연차,0.08650950658386666
높다,0.08251770493127461
근무,0.07975414994101858
사업,0.07772754294816415
야근,0.06960064419904086
체계,0.0658135503235048
대한,0.0651175438815144
눈치,0.06390976799688398
조직,0.06335705699883278
다양하다,0.06327517388801038
수평,0.05850548268260552
환경,0.0569701743546855
보고,0.05314213892373825
경험,0.05258942792568705
개발,0.05103364882006143
힘들다,0.04964163593608061
최고,0.04958022360296381
필요하다,0.048433860051450194
기회,0.04638678228089017
사용,0.04534277261790456
장점,0.04397123051162934
시스템,0.04311145784799413
개발자,0.04309098707028853
매우,0.04302957473717173
급여,0.04298863318176053
낮다,0.042824866960115726
사내,0.04243592218370932
괜찮다,0.04139191252072371
다르다,0.0409415554112005
성장,0.0409006138557893
발전,0.0407163768564389
강도,0.0406344937456165
안정,0.03887400686293488
성과,0.03832129586488367
젊다,0.03676551675925805
보상,0.03635610120514605
느낌,0.036335630427440445
개인,0.03541444543068843
노력,0.034882205210342826
출퇴근,0.03486173443263723
업계,0.03469796821099243
자유,0.034575143544758824
가능,0.03418619876835242
수준,0.03379725399194602
개선,0.03359254621489001
단점,0.03346972154865641
성장하다,0.03338783843783401
제도,0.03336736766012841
능력,0.03328548454930601
심하다,0.0328146566620772
라벨,0.0321391209977924
글로벌,0.032077708664675596
퇴근,0.03162735155515239
정말,0.03134076066727399
필요,0.030276280226582773
평가,0.029948747783293168
지원,0.029805452339353965
편하다,0.029662156895414765
계약,0.02935509522983076
영진,0.02912991667506916
별로,0.029068504341952357
그렇다,0.029027562786541155
가능하다,0.028597676454723553
구조,0.028311085566845147
효율,0.027922140790438744
미래,0.027737903791088342
자율,0.027737903791088342
휴가,0.027635549902560338
인사,0.027512725236326738
대우,0.027287546681565134
경쟁,0.026755306461219527
교육,0.026530127906457927
변화,0.026448244795635525
부분,0.025956946130701118
직장,0.025875063019878717
보수,0.025568001354294715
나쁘다,0.02534282279953311
국내,0.02532235202182751
신입,0.02503576113394911
비교,0.024994819578537907
경력,0.024769641023776306
빠르다,0.0245444624690147
위해,0.024155517692608295
퇴사,0.024135046914902696
제공,0.024135046914902696
자부심,0.023930339137846694
인력,0.023725631360790693
새롭다,0.023254803473561885
투자,0.023070566474211483
신경,0.022988683363389082
안되다,0.022988683363389082
계속,0.02288632947486108
프로세스,0.022476913920749075
경영,0.022272206143693074
추천,0.022190323032870673
안보,0.02210843992204827
소통,0.02200608603352027
어렵다,0.02196514447810907
관리,0.02192420292269787
임원,0.021883261367286667
본인,0.021801378256464266
수직,0.021801378256464266
월급,0.02122819648070746
승진,0.02118725492529626
커리어,0.02112584259217946
진행,0.020798310148889856
인하다,0.020675485482656252
기술,0.020675485482656252
나름,0.02034795303936665
대비,0.02030701148395545
사원,0.020225128373133047
정규직,0.020040891373782645
의사결정,0.020040891373782645
가능성,0.019938537485254645
서비스,0.019774771263609842
야하다,0.019160647932441835
딱하다,0.018976410933091433
정치,0.018853586266857833
삼성,0.01883311548915223
인재,0.01879217393374103
혜택,0.01873076160062423
동료,0.01873076160062423
차이,0.01871029082291863
출근,0.01862840771209623
신규,0.01858746615668503
무량,0.018566995378979427
게임,0.018280404491101025
어떻다,0.018198521380278623
보장,0.01801428438092822
제대로,0.01795287204781142
프로젝트,0.01780957660387222
확실하다,0.017563927271405017
스트레스,0.017502514938288215
역량,0.017359219494349012
의견,0.016888391607120207
불만,0.016806508496297806
존재,0.016683683830064206
점점,0.016663213052358603
이직,0.016581329941536202
군대,0.016540388386125003
보임,0.016499446830713804
부족하다,0.016417563719891403
원하다,0.0163152098313634
모든,0.0162947390536578
운영,0.0161719143874242
내부,0.0161514436097186
성과급,0.0161514436097186
실적,0.016110502054307398
힘드다,0.016090031276601798
입사,0.015987677388073798
영업,0.015987677388073798
크게,0.015926265054956996
어려움,0.015844381944134595
대부분,0.015823911166428995
적극,0.015762498833312193
이미지,0.015742028055606594
가장,0.015660144944784193
압박,0.015209787835260986
인턴,0.015148375502144186
상사,0.015107433946732985
로움,0.015107433946732985
방향,0.015025550835910584
윗사람,0.014820843058854581
합리,0.014800372281148982
강하다,0.014738959948032182
실력,0.014698018392620981
적당하다,0.014698018392620981
생활,0.014698018392620981
맛있다,0.014472839837859377
인물,0.014370485949331376
시설,0.014042953506041773
구성원,0.013920128839808171
위치,0.01383824572898577
기본,0.013817774951280169
마인드,0.01377683339586897
인원,0.01377683339586897
분야,0.013694950285046569
굉장하다,0.013654008729635368
부바,0.013510713285696165
규모,0.013428830174873766
한국,0.013367417841756964
전체,0.013306005508640164
자체,0.013306005508640164
고객,0.013183180842406562
만족하다,0.013162710064700961
채용,0.01306035617617296
중요하다,0.01306035617617296
자주,0.01295800228764496
직급,0.01295800228764496
실무,0.012937531509939358
바쁘다,0.012814706843705757
작업,0.012753294510588957
집중,0.012753294510588957
최근,0.012691882177472157
이동,0.012671411399766555
서로,0.012671411399766555
자리,0.012548586733532954
리더,0.012487174400416154
그룹,0.012425762067299352
회의,0.012425762067299352
아주,0.012343878956476952
대표,0.012343878956476952
장기,0.012323408178771351
현재,0.01218011273483215
직문,0.01213917117942095
