동,업체수,유동인구,매출,지출,평균 영업 이익,창업시 업체수,시장 규모,창업 후 평균 예상 매출,창업 후 평균 예상 지출,창업 후 예상 영업이익
대림2동,9,1603,2031,1823,208,10,18279,1828,1641,187
삼성2동,101,5753,2531,2271,260,102,255631,2506,2249,257
잠원동,56,7625,1499,1345,154,57,83944,1473,1322,151
당산1동,81,4822,1309,1175,134,82,106029,1293,1160,133
묵2동,33,2535,1241,1114,127,34,40953,1205,1081,124
능동,30,2681,1890,1696,194,31,56700,1829,1641,188
신월4동,15,2140,1771,1589,182,16,26565,1660,1490,170
홍은2동,32,3461,831,746,85,33,26592,806,723,83
인수동,31,2683,1062,953,109,32,32922,1029,923,106
도봉1동,35,3197,1467,1317,150,36,51345,1426,1280,146
여의동,236,20104,2290,2055,235,237,540440,2280,2046,234
돈암1동,5,1243,1088,976,112,6,5440,907,814,93
용신동,71,7831,1120,1005,115,72,79520,1104,991,113
북가좌1동,10,1410,1213,1089,124,11,12130,1103,990,113
한남동,127,7399,2535,2275,260,128,321945,2515,2257,258
용강동,41,3330,1646,1477,169,42,67486,1607,1442,165
일원1동,25,1541,1545,1387,158,26,38625,1486,1334,152
염리동,37,940,1808,1623,185,38,66896,1760,1579,181
동화동,17,501,809,726,83,18,13753,764,686,78
성현동,15,1080,486,436,50,16,7290,456,409,47
잠실7동,2,2191,0,0,0,3,0,0,0,0
상계9동,8,2230,1178,1057,121,9,9424,1047,940,107
연남동,198,1611,1475,1324,151,199,292050,1468,1317,151
역삼1동,451,17741,2182,1958,224,452,984082,2177,1954,223
구로3동,98,5326,2428,2179,249,99,237944,2403,2157,246
공릉1동,76,4871,1492,1339,153,77,113392,1473,1322,151
원효로2동,19,1873,1508,1353,155,20,28652,1433,1286,147
청담동,127,10011,1986,1782,204,128,252222,1970,1768,202
자양1동,42,1516,1259,1130,129,43,52878,1230,1104,126
방배본동,51,2397,1381,1239,142,52,70431,1354,1215,139
명일2동,33,1992,2715,2437,278,34,89595,2635,2365,270
남현동,23,3844,1989,1785,204,24,45747,1906,1711,195
신내2동,17,2040,1641,1473,168,18,27897,1550,1391,159
신월1동,21,1680,776,696,80,22,16296,741,665,76
면목5동,8,1905,2500,2244,256,9,20000,2222,1994,228
회기동,48,2891,867,778,89,49,41616,849,762,87
면목7동,23,2537,1863,1672,191,24,42849,1785,1602,183
상도3동,28,1190,1062,953,109,29,29736,1025,920,105
장지동,29,4238,1373,1232,141,30,39817,1327,1191,136
