,지역,총계,법인,개인사업자,일반사업자,간이사업자,면세사업자
0,서울 ,"183,386 ","20,228 ","163,158 ","98,581 ","40,982 ","23,595 "
1, 강남구,"17,075 ","3,775 ","13,300 ","9,388 ","1,487 ","2,425 "
2, 강동구,"6,761 ",412 ,"6,349 ","3,517 ","1,869 ",963 
3, 강북구,"4,437 ",222 ,"4,215 ","2,235 ","1,466 ",514 
4, 강서구,"10,122 ",815 ,"9,307 ","5,630 ","2,391 ","1,286 "
5, 관악구,"7,199 ",313 ,"6,886 ","3,617 ","2,450 ",819 
6, 광진구,"5,379 ",404 ,"4,975 ","2,770 ","1,503 ",702 
7, 구로구,"6,992 ",910 ,"6,082 ","3,601 ","1,742 ",739 
8, 금천구,"6,097 ",948 ,"5,149 ","3,609 ","1,084 ",456 
9, 노원구,"5,934 ",264 ,"5,670 ","2,674 ","1,982 ","1,014 "
10, 도봉구,"3,804 ",156 ,"3,648 ","1,861 ","1,269 ",518 
11, 동대문구,"6,568 ",347 ,"6,221 ","3,711 ","1,750 ",760 
12, 동작구,"4,802 ",244 ,"4,558 ","2,282 ","1,382 ",894 
13, 마포구,"9,237 ","1,184 ","8,053 ","4,809 ","2,137 ","1,107 "
14, 서대문구,"4,647 ",351 ,"4,296 ","2,365 ","1,286 ",645 
15, 서초구,"11,181 ","2,011 ","9,170 ","6,110 ","1,313 ","1,747 "
16, 성동구,"5,478 ",662 ,"4,816 ","2,811 ","1,269 ",736 
17, 성북구,"5,303 ",255 ,"5,048 ","2,480 ","1,761 ",807 
18, 송파구,"12,753 ","1,196 ","11,557 ","6,883 ","2,460 ","2,214 "
19, 양천구,"5,759 ",347 ,"5,412 ","2,854 ","1,566 ",992 
20, 영등포구,"11,137 ","2,383 ","8,754 ","6,092 ","1,641 ","1,021 "
21, 용산구,"5,134 ",575 ,"4,559 ","2,827 ","1,074 ",658 
22, 은평구,"6,030 ",299 ,"5,731 ","2,837 ","2,017 ",877 
23, 종로구,"6,179 ",727 ,"5,452 ","4,021 ","1,001 ",430 
24, 중구,"9,854 ","1,205 ","8,649 ","6,833 ","1,136 ",680 
25, 중랑구,"5,524 ",223 ,"5,301 ","2,764 ","1,946 ",591 
